tract,year,New open,count,is_cbd,post_covid,DID,open_ln,tr_x,population,yr,TRACTCE10,SHAPE_AREA,tr_y,pop,density,post covid * density,density_rank,density_group
500.0,2014,20,133.0,1,0,0,2.995732273553991,500.0,2388.0,2014.0,000500,4615443.89842,500.0,2.388,0.5173933542594855,0.0,0.6951871657754011,mid_density
500.0,2015,14,133.0,1,0,0,2.6390573296152584,500.0,2316.0,2015.0,000500,4615443.89842,500.0,2.316,0.5017935546335713,0.0,0.7127578304048893,mid_density
500.0,2016,21,133.0,1,0,0,3.044522437723423,500.0,2451.0,2016.0,000500,4615443.89842,500.0,2.451,0.5310431789321604,0.0,0.6795263559969442,mid_density
500.0,2017,34,133.0,1,0,0,3.5263605246161616,500.0,2514.0,2017.0,000500,4615443.89842,500.0,2.514,0.5446930036048352,0.0,0.6638655462184874,mid_density
500.0,2018,52,133.0,1,0,0,3.9512437185814275,500.0,2471.0,2018.0,000500,4615443.89842,500.0,2.471,0.5353764566060254,0.0,0.6730328495034378,mid_density
500.0,2019,39,133.0,1,1,1,3.6635616461296463,500.0,2543.0,2019.0,000500,4615443.89842,500.0,2.543,0.5509762562319395,0.5509762562319395,0.6541252864782277,mid_density
500.0,2020,23,133.0,1,1,1,3.1354942159291497,500.0,2826.0,2020.0,000500,4615443.89842,500.0,2.826,0.6122921353171298,0.6122921353171298,0.5870893812070282,mid_density
500.0,2021,17,133.0,1,1,1,2.833213344056216,500.0,2543.0,2021.0,000500,4615443.89842,500.0,2.543,0.5509762562319395,0.5509762562319395,0.6541252864782277,mid_density
600.0,2013,28,119.0,1,0,0,3.332204510175204,600.0,1534.0,2013.0,000600,1858607.39949,600.0,1.534,0.8253491299028122,0.0,0.35943468296409475,low_density
600.0,2014,29,119.0,1,0,0,3.367295829986474,600.0,1455.0,2014.0,000600,1858607.39949,600.0,1.455,0.7828441877500598,0.0,0.3983957219251337,low_density
600.0,2015,21,119.0,1,0,0,3.044522437723423,600.0,1341.0,2015.0,000600,1858607.39949,600.0,1.341,0.7215079421119108,0.0,0.4514896867838044,low_density
600.0,2016,27,119.0,1,0,0,3.295836866004329,600.0,1301.0,2016.0,000600,1858607.39949,600.0,1.301,0.6999864524143147,0.0,0.4709702062643239,low_density
